City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
178,Kuala Terengganu,MY,2021-09-06 19:24:24,5.3302,103.1408,78.75,89,20,2.3
179,Zhigansk,RU,2021-09-06 19:19:52,66.7697,123.3711,43.75,52,0,2.89
180,Chokurdakh,RU,2021-09-06 19:24:24,70.6333,147.9167,32.7,94,100,11.92
181,Itoman,JP,2021-09-06 19:24:25,26.1247,127.6694,81.37,91,20,2.3
182,Tambopata,PE,2021-09-06 19:24:25,-12.7333,-69.1833,91.29,55,20,6.91
183,Severo-Kurilsk,RU,2021-09-06 19:24:26,50.6789,156.125,48.78,78,65,16.35
184,Sorland,NO,2021-09-06 19:24:26,67.667,12.6934,53.67,97,100,19.42
185,Jamuria,IN,2021-09-06 19:24:27,23.7,87.0833,79.11,92,94,12.84
186,Maku,IR,2021-09-06 19:24:27,39.2911,44.4521,71.15,25,0,6.15
187,Richards Bay,ZA,2021-09-06 19:24:27,-28.783,32.0377,66.15,89,100,9.82
188,Eenhana,NA,2021-09-06 19:21:19,-17.4667,16.3333,78.55,17,0,6.89
189,Lagoa,PT,2021-09-06 19:24:28,39.05,-27.9833,68.52,77,90,13.4
190,Dingle,PH,2021-09-06 19:24:29,10.9995,122.6711,76.37,90,100,0.27
191,Mastic Beach,US,2021-09-06 19:24:29,40.7668,-72.8521,84.97,57,0,3.0
192,Tuim,RU,2021-09-06 19:24:29,54.3417,89.9261,50.47,85,0,5.37
193,Limache,CL,2021-09-06 19:24:30,-33.0167,-71.2667,61.5,42,5,10.02
194,Soe,ID,2021-09-06 19:24:31,-9.8607,124.284,65.77,89,99,3.8
195,Patacamaya,BO,2021-09-06 19:24:31,-17.2333,-67.9167,60.3,26,8,13.2
196,Oussouye,SN,2021-09-06 19:24:31,12.485,-16.5469,87.98,82,100,7.07
197,Oliveira Dos Brejinhos,BR,2021-09-06 19:24:32,-12.3169,-42.8961,94.78,19,58,5.97
198,Bereda,ES,2021-09-06 19:19:47,43.2686,-7.5406,79.41,65,100,3.02
199,Mercedes,AR,2021-09-06 19:24:33,-34.6515,-59.4307,64.63,68,100,10.87
200,Hailun,CN,2021-09-06 19:24:33,47.45,126.9333,59.0,85,100,4.65
201,Miranda,CO,2021-09-06 19:24:33,3.2499,-76.2281,80.65,81,100,2.57
202,Carnarvon,AU,2021-09-06 19:24:34,-24.8667,113.6333,53.67,82,13,1.14
203,Jablah,SY,2021-09-06 19:24:34,35.3614,35.9256,77.47,72,0,5.88
204,Phalodi,IN,2021-09-06 19:24:35,27.1333,72.3667,91.6,55,43,10.13
205,Evanston,US,2021-09-06 19:20:46,42.0411,-87.6901,84.15,47,40,1.99
206,Garbolovo,RU,2021-09-06 19:24:36,60.3413,30.4955,50.99,96,100,4.14
207,Nieuwpoort,BE,2021-09-06 19:24:36,51.1244,2.7735,73.0,73,0,3.44
208,Pocatello,US,2021-09-06 19:24:37,42.8713,-112.4455,84.67,17,1,1.01
209,Bojnurd,IR,2021-09-06 19:24:37,37.4747,57.329,76.95,50,0,6.91
210,Korla,CN,2021-09-06 19:24:37,41.7597,86.1469,74.68,25,0,6.58
211,Gorontalo,ID,2021-09-06 19:24:38,0.5412,123.0595,74.1,94,100,2.21
212,Ostrovnoy,RU,2021-09-06 19:24:38,68.0531,39.5131,40.23,81,100,19.98
213,Dolores,AR,2021-09-06 19:24:39,-36.3132,-57.6792,58.96,76,100,12.8
214,Provideniya,RU,2021-09-06 19:24:39,64.3833,-173.3,37.51,87,75,6.71
215,El Alto,PE,2021-09-06 19:23:10,-4.2714,-81.2147,71.26,74,97,11.21
